Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,loan_officer_id
2000,2016-07-01,debt_consolidation,587,39.97,980xx,WA,< 1 year,4
40000,2016-07-01,credit_card,588,575.11,395xx,MS,< 1 year,1
6000,2016-07-01,credit_card,589,29.08,981xx,WA,< 1 year,2
35000,2016-07-01,debt_consolidation,590,34.29,550xx,MN,< 1 year,3
20000,2016-07-01,debt_consolidation,591,29.66,982xx,WA,5 years,4
2000,2016-07-01,other,592,24.97,020xx,MA,n/a,1
3500,2016-07-01,other,593,0,483xx,MI,5 years,2
3000,2016-07-01,medical,594,8.68,615xx,IL,< 1 year,3
40000,2016-07-01,debt_consolidation,595,113.8,306xx,GA,< 1 year,4
5000,2016-07-01,debt_consolidation,596,42.83,967xx,HI,< 1 year,1
6000,2016-07-01,vacation,597,2.86,070xx,NJ,< 1 year,2
18000,2016-07-01,debt_consolidation,598,46.57,605xx,IL,< 1 year,3
10000,2016-07-01,debt_consolidation,599,14.52,711xx,LA,< 1 year,4
4000,2016-07-01,car,600,6.08,931xx,CA,5 years,1
8000,2016-07-01,other,601,22.12,300xx,GA,< 1 year,2
4000,2016-07-01,debt_consolidation,602,24.53,454xx,OH,< 1 year,3
10000,2016-07-01,debt_consolidation,603,34.08,021xx,MA,< 1 year,4
2500,2016-07-01,other,604,-1,292xx,SC,< 1 year,1
5000,2016-07-01,house,605,-1,705xx,LA,5 years,2
35000,2016-07-01,home_improvement,606,14.41,306xx,GA,5 years,3
5000,2016-07-01,other,607,4.07,852xx,AZ,< 1 year,4
15000,2016-07-01,credit_card,608,22.13,864xx,AZ,< 1 year,1
5000,2016-07-01,debt_consolidation,609,34.35,850xx,AZ,< 1 year,2
15000,2016-07-01,major_purchase,610,6.74,926xx,CA,< 1 year,3
1500,2016-07-01,other,611,0.85,307xx,GA,5 years,4
5000,2016-07-01,debt_consolidation,612,0.47,967xx,HI,< 1 year,1
5000,2016-07-01,vacation,613,123.23,453xx,OH,5 years,2
4000,2016-07-01,debt_consolidation,614,-1,937xx,CA,< 1 year,3
5000,2016-07-01,debt_consolidation,615,0.92,891xx,NV,< 1 year,4
10000,2016-07-01,debt_consolidation,616,11.46,777xx,TX,5 years,1
5000,2016-07-01,debt_consolidation,617,15.11,209xx,MD,5 years,2
20000,2016-07-01,debt_consolidation,618,348.91,328xx,FL,< 1 year,3
2500,2016-07-01,debt_consolidation,619,9.33,104xx,NY,< 1 year,4
4000,2016-07-01,debt_consolidation,620,8.78,112xx,NY,< 1 year,1
16000,2016-07-01,debt_consolidation,621,30.01,829xx,WY,< 1 year,2
1000,2016-07-01,car,622,0,212xx,MD,< 1 year,3
1000,2016-07-01,car,623,0,775xx,TX,< 1 year,4
35000,2016-07-01,home_improvement,624,7.87,891xx,NV,< 1 year,1
20000,2016-07-01,debt_consolidation,625,40.16,925xx,CA,< 1 year,2
1000,2016-07-01,other,626,61.09,717xx,AR,< 1 year,3
20000,2016-07-01,Business,627,6.62,390xx,MS,< 1 year,4
30000,2016-07-01,other,628,9.53,880xx,NM,< 1 year,1
30000,2016-07-01,Business Loan,629,-1,306xx,GA,< 1 year,2
5000,2016-07-01,debt_consolidation,630,30.04,967xx,HI,< 1 year,3
7250,2016-07-01,debt_consolidation,631,12.58,984xx,WA,< 1 year,4
1000,2016-07-01,other,632,-1,640xx,MO,< 1 year,1
30000,2016-07-01,debt_consolidation,633,35.14,582xx,ND,5 years,2
10000,2016-07-01,debt_consolidation,634,65.72,770xx,TX,< 1 year,3
4000,2016-07-01,debt_consolidation,635,46.91,829xx,WY,5 years,4
3000,2016-07-01,home_improvement,636,61.28,704xx,LA,< 1 year,1
5500,2016-07-01,car,637,2.72,852xx,AZ,5 years,2
20000,2016-07-01,debt_consolidation,638,35.99,366xx,AL,< 1 year,3
5000,2016-07-01,debt_consolidation,639,65.36,237xx,VA,< 1 year,4
19000,2016-07-01,other,640,2.45,935xx,CA,< 1 year,1
1000,2016-07-01,medical,641,3,640xx,KS,< 1 year,2
1000,2016-07-01,vacation,642,-1,977xx,OR,< 1 year,3
6000,2016-07-01,other,643,3.83,066xx,CT,5 years,4
10000,2016-07-01,debt_consolidation,644,50.32,393xx,MS,< 1 year,1
5000,2016-07-01,other,645,6.55,731xx,OK,< 1 year,2
10000,2016-07-01,other,646,52.44,389xx,MS,< 1 year,3
8000,2016-07-01,Major purchase,647,4.13,940xx,CA,n/a,4
15000,2016-07-01,credit_card,648,37.16,240xx,VA,5 years,1
17000,2016-07-01,major_purchase,649,48.16,105xx,NY,< 1 year,2
1000,2016-07-01,other,650,58.47,757xx,TX,5 years,3
1000,2016-07-01,other,651,20.29,176xx,PA,< 1 year,4
10000,2016-07-01,debt_consolidation,652,5.78,492xx,MI,< 1 year,1
2000,2016-07-01,debt_consolidation,653,33.89,478xx,IN,n/a,2
1000,2016-07-01,debt_consolidation,654,8.07,980xx,WA,< 1 year,3
20000,2016-07-01,debt_consolidation,655,34.84,836xx,ID,< 1 year,4
6000,2016-07-01,other,656,10.61,648xx,MO,< 1 year,1
5000,2016-07-01,Business Loan,657,-1,770xx,TX,< 1 year,2
35000,2016-07-01,debt_consolidation,658,40.86,920xx,CA,< 1 year,3
5000,2016-07-01,credit_card,659,-1,303xx,GA,< 1 year,4
30000,2016-07-01,debt_consolidation,660,37.42,197xx,DE,< 1 year,1
5000,2016-07-01,credit_card,661,42.56,940xx,CA,< 1 year,2
3000,2016-07-01,debt_consolidation,662,11.46,279xx,NC,< 1 year,3
35000,2016-07-01,debt_consolidation,663,33.09,443xx,OH,5 years,4
8900,2016-07-01,debt_consolidation,664,77.04,930xx,CA,< 1 year,1
5000,2016-07-01,debt_consolidation,665,28.61,105xx,NY,< 1 year,2
10000,2016-07-01,debt_consolidation,666,30.74,939xx,CA,< 1 year,3
10000,2016-07-01,debt_consolidation,667,5.54,232xx,VA,< 1 year,4
4000,2016-07-01,car,668,16.45,638xx,MO,< 1 year,1
30000,2016-07-01,debt_consolidation,669,24.62,074xx,NJ,< 1 year,2
2000,2016-07-01,debt_consolidation,670,5.04,061xx,CT,< 1 year,3
20000,2016-07-01,other,671,28.45,318xx,GA,< 1 year,4
15000,2016-07-01,debt_consolidation,672,28.99,800xx,CO,< 1 year,1
5500,2016-07-01,car,673,16.71,281xx,NC,n/a,2
1500,2016-07-01,moving,674,0,853xx,AZ,< 1 year,3
5000,2016-07-01,debt_consolidation,675,26.95,275xx,NC,< 1 year,4
25000,2016-07-01,credit_card,676,16.99,770xx,TX,< 1 year,1
30000,2016-07-01,debt_consolidation,677,35.63,113xx,NY,< 1 year,2
5000,2016-07-01,debt_consolidation,678,33.56,430xx,OH,< 1 year,3
1000,2016-07-01,home_improvement,679,25.23,300xx,GA,< 1 year,4
4000,2016-07-01,major_purchase,680,1.12,331xx,FL,< 1 year,1
20000,2016-07-01,debt_consolidation,681,24.95,905xx,CA,5 years,2
2000,2016-07-01,other,682,2.91,356xx,AL,5 years,3
1750,2016-07-01,car,683,20.91,953xx,CA,< 1 year,4
20000,2016-07-01,Business,684,13.14,116xx,NY,6 years,1
25000,2016-07-01,other,685,46.4,103xx,NY,< 1 year,2
13000,2016-07-01,debt_consolidation,686,46.23,959xx,CA,5 years,3
14000,2016-07-01,credit_card,687,8.93,908xx,CA,5 years,4
10000,2016-07-01,debt_consolidation,688,17.98,336xx,FL,5 years,1
3500,2016-07-01,other,689,27.22,321xx,FL,< 1 year,2
1200,2016-07-01,vacation,690,22.34,760xx,TX,< 1 year,3
3000,2016-07-01,other,691,5.18,301xx,GA,< 1 year,4
1000,2016-07-01,other,692,28.22,890xx,NV,< 1 year,1
2000,2016-07-01,car,693,1.4,852xx,AZ,< 1 year,2
3500,2016-07-01,credit_card,694,4.33,912xx,CA,5 years,3
